Rodada,P1_Score,P2_Score
0,1,-1
1,0,0
2,-1,1
3,-2,2
4,-3,3
5,-4,4
6,-3,3
7,-4,4
8,-3,3
9,-4,4
10,-3,3
11,-2,2
12,-1,1
13,-2,2
14,-3,3
15,-4,4
16,-5,5
17,-6,6
18,-5,5
19,-6,6
20,-5,5
21,-4,4
22,-5,5
23,-6,6
24,-7,7
25,-8,8
26,-7,7
27,-8,8
28,-9,9
29,-10,10
30,-11,11
31,-12,12
32,-13,13
33,-14,14
34,-15,15
35,-16,16
36,-15,15
37,-16,16
38,-17,17
39,-16,16
40,-15,15
41,-14,14
42,-13,13
43,-14,14
44,-13,13
45,-14,14
46,-13,13
47,-12,12
48,-13,13
49,-14,14
50,-13,13
51,-12,12
52,-11,11
53,-12,12
54,-11,11
55,-10,10
56,-9,9
57,-10,10
58,-9,9
59,-8,8
60,-9,9
61,-10,10
62,-11,11
63,-10,10
64,-11,11
65,-12,12
66,-13,13
67,-14,14
68,-15,15
69,-16,16
70,-17,17
71,-16,16
72,-17,17
73,-18,18
74,-17,17
75,-18,18
76,-17,17
77,-16,16
78,-17,17
79,-16,16
80,-15,15
81,-14,14
82,-13,13
83,-12,12
84,-11,11
85,-12,12
86,-11,11
87,-12,12
88,-13,13
89,-14,14
90,-13,13
91,-12,12
92,-11,11
93,-10,10
94,-9,9
95,-10,10
96,-11,11
97,-12,12
98,-11,11
99,-10,10
100,-9,9
101,-8,8
102,-7,7
103,-8,8
104,-9,9
105,-10,10
106,-11,11
107,-10,10
108,-9,9
109,-8,8
110,-9,9
111,-10,10
112,-11,11
113,-10,10
114,-11,11
115,-10,10
116,-9,9
117,-10,10
118,-9,9
119,-10,10
120,-11,11
121,-10,10
122,-9,9
123,-10,10
124,-9,9
125,-8,8
126,-7,7
127,-6,6
128,-5,5
129,-6,6
130,-7,7
131,-6,6
132,-5,5
133,-4,4
134,-5,5
135,-4,4
136,-3,3
137,-4,4
138,-5,5
139,-4,4
140,-3,3
141,-2,2
142,-1,1
143,0,0
144,1,-1
145,0,0
146,-1,1
147,-2,2
148,-3,3
149,-2,2
150,-3,3
151,-2,2
152,-3,3
153,-4,4
154,-5,5
155,-4,4
156,-3,3
157,-2,2
158,-3,3
159,-2,2
160,-3,3
161,-2,2
162,-3,3
163,-2,2
164,-3,3
165,-2,2
166,-1,1
167,-2,2
168,-3,3
169,-2,2
170,-3,3
171,-4,4
172,-5,5
173,-4,4
174,-3,3
175,-4,4
176,-5,5
177,-6,6
178,-7,7
179,-8,8
180,-9,9
181,-8,8
182,-7,7
183,-8,8
184,-9,9
185,-10,10
186,-11,11
187,-10,10
188,-9,9
189,-8,8
190,-9,9
191,-10,10
192,-9,9
193,-10,10
194,-11,11
195,-12,12
196,-11,11
197,-12,12
198,-13,13
199,-12,12
200,-11,11
201,-12,12
202,-11,11
203,-10,10
204,-11,11
205,-12,12
206,-11,11
207,-10,10
208,-11,11
209,-10,10
210,-9,9
211,-8,8
212,-9,9
213,-10,10
214,-9,9
215,-10,10
216,-11,11
217,-12,12
218,-13,13
219,-12,12
220,-13,13
221,-14,14
222,-15,15
223,-14,14
224,-15,15
225,-14,14
226,-15,15
227,-16,16
228,-17,17
229,-16,16
230,-15,15
231,-14,14
232,-15,15
233,-16,16
234,-17,17
235,-16,16
236,-15,15
237,-14,14
238,-13,13
239,-12,12
240,-13,13
241,-14,14
242,-15,15
243,-14,14
244,-13,13
245,-14,14
246,-15,15
247,-16,16
248,-15,15
249,-14,14
250,-13,13
251,-12,12
252,-13,13
253,-12,12
254,-11,11
255,-10,10
256,-9,9
257,-8,8
258,-9,9
259,-10,10
260,-11,11
261,-10,10
262,-9,9
263,-8,8
264,-7,7
265,-6,6
266,-5,5
267,-6,6
268,-7,7
269,-8,8
270,-7,7
271,-6,6
272,-5,5
273,-6,6
274,-5,5
275,-6,6
276,-5,5
277,-4,4
278,-5,5
279,-4,4
280,-5,5
281,-6,6
282,-7,7
283,-8,8
284,-7,7
285,-6,6
286,-7,7
287,-6,6
288,-5,5
289,-4,4
290,-5,5
291,-6,6
292,-7,7
293,-6,6
294,-7,7
295,-8,8
296,-9,9
297,-8,8
298,-7,7
299,-8,8
300,-9,9
301,-10,10
302,-9,9
303,-10,10
304,-11,11
305,-10,10
306,-9,9
307,-10,10
308,-9,9
309,-10,10
310,-11,11
311,-10,10
312,-9,9
313,-8,8
314,-7,7
315,-6,6
316,-7,7
317,-6,6
318,-5,5
319,-4,4
320,-3,3
321,-4,4
322,-5,5
323,-4,4
324,-3,3
325,-4,4
326,-5,5
327,-4,4
328,-5,5
329,-6,6
330,-5,5
331,-4,4
332,-3,3
333,-2,2
334,-3,3
335,-2,2
336,-3,3
337,-4,4
338,-5,5
339,-4,4
340,-3,3
